OBJ_ID,Dat_obs,Hr_obs,Nb_coyotes,Alimentation,Statut_animal,Periode,Comp_class,Com_code,Cote,Territoire,Statut_mention,Provenance,Verif,X,Y,Lat,Long,geometry
7,"2017-07-16","01:15:29",,,,"nuit",,,,"Ahuntsic-Cartierville","Valide","SPVM","oui",293843.3138,5046237.826,"45,55596629","-73,64033938",POINT (293843.3138 5046237.826)
8,"2017-07-18","04:07:24",1,,,"nuit","5",10,8.6,"Ahuntsic-Cartierville","Valide","SPVM","oui",293963.8187,5045952.301,"45,55339892","-73,63878957",POINT (293963.8187 5045952.301)
9,"2017-07-18","04:07:24",1,,,"nuit","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",292148.4158,5046319.458,"45,5566721","-73,66205061",POINT (292148.4158 5046319.458)
10,"2017-07-19","01:16:37",1,,,"nuit","5",10,8.6,"Ahuntsic-Cartierville","Valide","SPVM","oui",293955.1014,5045938.282,"45,55327264","-73,63890091",POINT (293955.1014 5045938.282)
11,"2017-07-22","01:03:24",1,,,"nuit","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",292633.8014,5047124.044,"45,56392066","-73,65585348",POINT (292633.8014 5047124.044)
12,"2017-07-22","23:50:27",1,,,"nuit","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",293636.2922,5047054.122,"45,56330828","-73,64300965",POINT (293636.2922 5047054.122)
13,"2017-07-24","14:36:28",1,,,"jour","inconnue",1,0,"Villeray—Saint-Michel—Parc-Extension","Valide","SPVM","oui",293906.2193,5047858.72,"45,57055257","-73,63956976",POINT (293906.2193 5047858.72)
14,"2017-07-26","22:02:58",1,,,"nuit","inconnue",1,0,"Mercier—Hochelaga-Maisonneuve","Valide","SPVM","oui",302176.5071,5047676.443,"45,5689927","-73,53361093",POINT (302176.5071 5047676.443)
15,"2017-07-27","01:53:28",1,,,"nuit","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",293973.9632,5046016.053,"45,55397274","-73,63866105",POINT (293973.9632 5046016.053)
16,"2017-07-27","02:17:55",,,,"nuit",,,,"Ahuntsic-Cartierville","Valide","SPVM","oui",293264.7938,5047312.447,"45,56562671","-73,64777471",POINT (293264.7938 5047312.447)
17,"2017-07-27","21:52:14",,,,"nuit",,,,"Villeray—Saint-Michel—Parc-Extension","Valide","SPVM","oui",294140.6924,5047653.033,"45,56870537","-73,63656125",POINT (294140.6924 5047653.033)
18,"2017-07-30","00:43:44",1,,,"nuit","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",293377.0136,5048541.751,"45,5766902","-73,64636583",POINT (293377.0136 5048541.751)
19,"2017-07-30","00:54:18",1,,,"nuit","6",11,9.6,"Ahuntsic-Cartierville","Valide","SPVM","oui",293515.9594,5048289.121,"45,57441923","-73,64457965",POINT (293515.9594 5048289.121)
20,"2017-08-01","21:22:24",1,,,"nuit","6",11,9.6,"Villeray—Saint-Michel—Parc-Extension","Valide","SPVM","oui",294105.0578,5047578.375,"45,56803303","-73,63701614",POINT (294105.0578 5047578.375)
21,"2017-08-01","23:53:57",1,,,"nuit","5",10,8.6,"Ahuntsic-Cartierville","Valide","SPVM","oui",294227.36,5046401.77,"45,55744744","-73,63542386",POINT (294227.36 5046401.77)
22,"2017-08-02","23:58:48",1,,,"nuit","6",11,9.6,"Ahuntsic-Cartierville","Valide","SPVM","oui",294612.8886,5045733.654,"45,55144126","-73,63047176",POINT (294612.8886 5045733.654)
24,"2017-08-03","22:04:02",1,,,"nuit","5",10,8.6,"Ahuntsic-Cartierville","Valide","SPVM","oui",293444.9585,5045374.253,"45,54818919","-73,64542168",POINT (293444.9585 5045374.253)
25,"2017-08-03","19:15:57",,,,"jour",,,,"Ahuntsic-Cartierville","Valide","SPVM","oui",293266.2858,5045569.405,"45,54994229","-73,6477145",POINT (293266.2858 5045569.405)
26,"2017-08-03","23:19:45",1,,,"nuit","5",10,8.6,"Ahuntsic-Cartierville","Valide","SPVM","oui",294615.8098,5045701.139,"45,55114873","-73,63043367",POINT (294615.8098 5045701.139)
28,"2017-08-06","02:45:15",1,,,"nuit","inconnue",1,0,"Mercier—Hochelaga-Maisonneuve","Valide","SPVM","oui",302663.0832,5046316.941,"45,55676112","-73,52737121",POINT (302663.0832 5046316.941)
29,"2017-08-07","05:03:42",2,"ordures",,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",293679.9835,5047053.827,"45,56330632","-73,64244995",POINT (293679.9835 5047053.827)
30,"2017-08-09","01:38:46",1,,,"nuit","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",291272.6156,5046419.744,"45,55755804","-73,67327122",POINT (291272.6156 5046419.744)
31,"2017-08-10","00:27:31",,"ordures",,"nuit",,,,"Ahuntsic-Cartierville","Valide","SPVM","oui",293696.4477,5047047.789,"45,56325226","-73,64223891",POINT (293696.4477 5047047.789)
32,"2017-08-10","03:08:04",,,,"nuit","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",290352.6549,5045280.511,"45,54728839","-73,68502122",POINT (290352.6549 5045280.511)
34,"2017-08-10","23:00:50",1,,,"nuit","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",293406.1659,5046853.664,"45,56150077","-73,64595294",POINT (293406.1659 5046853.664)
35,"2017-08-11","00:16:39",1,,,"nuit","5",10,8.6,"Saint-Laurent","Valide","SPVM","oui",291675.2851,5043156.538,"45,52820235","-73,66802599",POINT (291675.2851 5043156.538)
36,"2017-08-12","20:50:29",1,,,"nuit","4",9,7.6,"Ahuntsic-Cartierville","Valide","SPVM","oui",291744.4144,5044590.864,"45,5411102","-73,66717922",POINT (291744.4144 5044590.864)
37,"2017-08-12","21:18:35",1,,,"nuit","4",9,7.6,"Ahuntsic-Cartierville","Valide","SPVM","oui",292271.1788,5045807.777,"45,55207005","-73,66046508",POINT (292271.1788 5045807.777)
38,"2017-08-30","21:38:26",1,,,"nuit","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",293696.7397,5045153.948,"45,54621087","-73,64219218",POINT (293696.7397 5045153.948)
40,"2017-08-14","20:58:43",1,,,"nuit","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",289255.744,5044652.693,"45,54161548","-73,69904889",POINT (289255.744 5044652.693)
41,"2017-08-14","22:13:25",1,,,"nuit","inconnue",1,0,"Saint-Laurent","Valide","SPVM","oui",292113.7977,5042029.347,"45,51806759","-73,66238288",POINT (292113.7977 5042029.347)
