Ville ;Temp moy;DD;Source
Québec;-13,9;46,8666666666667;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
Saint-Bernard de Lacolle;-8,4;45,0283333333333;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
Montréal;-10;45,49;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
Saint-Donat;-13,3;46,2952777777778;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
Shawinigan;-12,8;46,5413888888889;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
La Tuque;-14,5;47,4102777777778;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
Saguenay;-15,2;48,4086111111111;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
Québec;-12,3;46,7633333333333;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
Chapais;-18,9;49,7872222222222;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
Amos;-17,2;48,5663888888889;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
Joutel;-19;49,4536111111111;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
Fermont;-22,1;52,7925;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
Kuujjuarapik;-23,6;55,2797222222222;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
Kuujuaq;-24,5;58,1083333333333;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
Magog;-10,1;45,2575;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
Saint-Félicien;-17;48,6166666666667;https://www.environnement.gouv.qc.ca/climat/normales/index.asp
Puvirnituq;-24,9;60,038148;https://planificateur.a-contresens.net/amerique_du_nord/canada/quebec/puvirnituq/6114471.html
Akulivik;-25,2;60,8044330476578;https://planificateur.a-contresens.net/amerique_du_nord/canada/quebec/akulivik/5882994.html
Ivujivik;-25,2;62,4219982772347;https://planificateur.a-contresens.net/amerique_du_nord/canada/quebec/ivujivik/5984875.html
Salluit;-25,2;62,2054304090398;https://planificateur.a-contresens.net/amerique_du_nord/canada/quebec/salluit/6139393.html
