Ville;Tm;Lat;source
IVUJIVIK A;8,8;62,417;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
SALLUIT A;8,8;62,179;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
SALLUIT;9,4;62,179;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
KANGIQSUJUAQ A;8,5;61,589;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
PARC NATIONAL DES PINGUALUIT;13,3;61,313;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
QUAQTAQ A;9;61,046;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
AKULIVIK A;10,2;60,819;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
PUVIRNITUQ A;12,3;60,052;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
KANGIRSUK A;10,7;60,027;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
AUPALUK A;10,3;59,297;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
KANGIQSUALUJJUAQ A;11,8;58,711;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
TASIUJAQ A;10,9;58,668;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
INUKJUAK;12,3;58,472;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
INUKJUAK A;12,4;58,472;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
KUUJJUAQ A;12,5;58,089;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
RIVIERE AUX FEUILLES;12,4;57,909;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
UMIUJAQ A;13,5;56,536;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
KUUJJUARAPIK;13,6;55,367;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
KUUJJUARAPIK A;13,7;55,282;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
SCHEFFERVILLE A;12,9;54,805;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
SCHEFFERVILLE COTE-NORD;12,9;54,803;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LA GRANDE IV;10,9;53,757;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LA GRANDE 4 A;14,3;53,755;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LA GRANDE RIVIERE A;14,4;53,625;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
WEMINDJI A;13,6;53,011;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
EASTMAIN RIVER A;13,1;52,226;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LAC EON;13,1;51,867;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LAC BENOIT;13,4;51,533;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
WASKAGANISH A;14,2;51,473;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LOURDES DE BLANC SABLON A;14,5;51,442;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LOURDES DE BLANC SABLON A;14,7;51,442;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
BONNARD 1;14,7;50,729;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
MANOUANE EST;14,1;50,656;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
CHEVERY;14,9;50,465;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
HAVRE ST. PIERRE;15,1;50,282;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LONGUE-POINTE-DE-MINGAN;14,9;50,271;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
SEPT-ILES A;14,6;50,223;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
ILE AUX PERROQUETS;14,3;50,221;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
SEPT-ILES;14,5;50,217;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
NATASHQUAN AIRPORT;15,4;50,19;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
NATASHQUAN A;15,6;50,19;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
POINTE NOIRE CS;15,7;50,163;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
CAPE WHITTLE;16;50,163;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
PORT-MENIER;15,7;49,839;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
CHAPAIS;15,1;49,823;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
CHIBOUGAMAU-CHAPAIS;15,2;49,777;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
CHIBOUGAMAU CHAPAIS A;15,3;49,772;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
MATAGAMI A;14,3;49,762;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
MATAGAMI;14,9;49,758;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
POINTE-DES-MONTS;15,2;49,317;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
CHAMOUCHOUANE;15,3;49,279;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
BAIE-COMEAU;15,8;49,259;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
CAP-MADELEINE;15,5;49,251;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
BAIE-COMEAU A;15,3;49,133;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
BAIE-COMEAU;15,5;49,133;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
CAP-CHAT;15,4;49,109;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
HEATH POINT;15;49,085;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
ONATCHIWAY;15,5;48,894;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
NORMANDIN;16,2;48,842;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
GASPE AIRPORT;15,7;48,783;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
GASPE A;15,7;48,775;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
GASPE A;15,7;48,775;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
MONT JOLI A;16,6;48,609;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
MONT-JOLI;16,2;48,604;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
MISTOOK;16,9;48,598;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
CHICOUTIMI ST-HONORE A;16,1;48,521;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
ROBERVAL A;16,9;48,52;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
ROBERVAL A;16,9;48,52;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
POINTE-AU-PERE (INRS);15,4;48,514;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
JONQUIERE;17,2;48,425;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
CAP-D'ESPOIR;15,7;48,419;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
ILE BICQUETTE;14,1;48,416;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
CAP-ROUGE;18,3;48,374;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
BAGOTVILLE A;16,6;48,333;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
BAGOTVILLE AIRPORT;16,1;48,331;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
CAUSAPSCAL AIRPORT;15,6;48,309;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LATERRIERE;16,6;48,307;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LA BAIE;16,4;48,298;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
POINTE CLAVEAU;17,5;48,26;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
GRANDES-BERGERONNES;15,3;48,258;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
ROUYN;16,3;48,246;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
ROUYN-NORANDA A;15,2;48,206;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
NEW RICHMOND EAST;16,4;48,156;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
POINTE DE L'ISLET;15,8;48,136;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
ILE ROUGE;13,3;48,069;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
VAL-D'OR;16;48,056;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
VAL D'OR A;15,8;48,053;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
NEW CARLISLE 1;16,6;48,012;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
PARENT;15;47,922;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
RIVIERE-DU-LOUP;16,2;47,806;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
L'ETAPE;12,7;47,562;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
ILES DE LA MADELEINE;17,8;47,425;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
ILES DE LA MADELEINE A;17,9;47,425;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LA TUQUE;17,2;47,411;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LA POCATIERE;17,3;47,356;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
FORET MONTMORENCY RCS;13;47,323;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
CHARLEVOIX (MRC);13,4;47,284;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
CAP-TOURMENTE;18,2;47,079;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
BEAUPORT;18,6;46,837;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
SAINT-MICHEL-DES-SAINTS;15;46,816;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
QUEBEC/JEAN LESAGE INTL;17,4;46,804;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
QUEBEC INTL A;17,2;46,791;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
STE-FOY (U. LAVAL);18;46,78;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
BARRAGE TEMISCAMINGUE;17,5;46,71;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
DESCHAMBAULT;16,6;46,691;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
SHAWINIGAN;18;46,563;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
SAINT-CAMILLE-DE-LELLIS;15,5;46,494;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
TROIS-RIVIERES;17,7;46,367;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
TROIS-RIVIERES;19,4;46,354;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
TROIS RIVIERES A;17,8;46,352;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
LEMIEUX;17,1;46,304;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
MANIWAKI AIRPORT;16,5;46,275;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
NICOLET;18,7;46,226;https://climat.meteo.gc.ca/prods_servs/cdn_climate_summary_f.html
